"aid","c"
"28","4"
"36","4"
"41","4"
"42","4"
"46","4"
"54","4"
"76","4"
"77","4"
"78","4"
"82","4"
"84","4"
"100","4"
"105","4"
"121","4"
"125","4"
"134","4"
"141","4"
"142","4"
"143","4"
"147","4"
"151","4"
"155","4"
"164","4"
"166","4"
"176","4"
"182","4"
"183","4"
"188","4"
"204","4"
"219","4"
"220","4"
"221","4"
"228","4"
"235","4"
"238","4"
"242","4"
"243","4"
"254","4"
"261","4"
"271","4"
"278","4"
"283","4"
"289","4"
"296","4"
"300","4"
"301","4"
"303","4"
"305","4"
"306","4"
"310","4"
"312","4"
"314","4"
"325","4"
"326","4"
"335","4"
"340","4"
"345","4"
"353","4"
"357","4"
"363","4"
"371","4"
"374","4"
"375","4"
"376","4"
"377","4"
"382","4"
"383","4"
"385","4"
"387","4"
"389","4"
"394","4"
"396","4"
"402","4"
"404","4"
"406","4"
"414","4"
"422","4"
"427","4"
"428","4"
"429","4"
"439","4"
"442","4"
"444","4"
"449","4"
"452","4"
"454","4"
"460","4"
"468","4"
"480","4"
"486","4"
"502","4"
"505","4"
"512","4"
"521","4"
"529","4"
"542","4"
"545","4"
"548","4"
"550","4"
"551","4"
"556","4"
"573","4"
"575","4"
"581","4"
"582","4"
"583","4"
"590","4"
"591","4"
"593","4"
"597","4"
"604","4"
"612","4"
"617","4"
"622","4"
"623","4"
"634","4"
"637","4"
"638","4"
"639","4"
"642","4"
"644","4"
"649","4"
"655","4"
"656","4"
"657","4"
"672","4"
"673","4"
"686","4"
"693","4"
"701","4"
"702","4"
"708","4"
"711","4"
"722","4"
"729","4"
"732","4"
"734","4"
"737","4"
"740","4"
"747","4"
"750","4"
"754","4"
"760","4"
"768","4"
"771","4"
"807","4"
"813","4"
"816","4"
"820","4"
"822","4"
"827","4"
"829","4"
"836","4"
"838","4"
"840","4"
"842","4"
"844","4"
"853","4"
"855","4"
"861","4"
"866","4"
"869","4"
"872","4"
"875","4"
"888","4"
"889","4"
"893","4"
"898","4"
"904","4"
"907","4"
"914","4"
"916","4"
"922","4"
"924","4"
"925","4"
"939","4"
"941","4"
"945","4"
"949","4"
"951","4"
"959","4"
"960","4"
"961","4"
"964","4"
"965","4"
"970","4"
"977","4"
"979","4"
"981","4"
"984","4"
"986","4"
"988","4"
"994","4"
"996","4"
"0","3"
"3","3"
"5","3"
"11","3"
"20","3"
"22","3"
"27","3"
"31","3"
"35","3"
"43","3"
"53","3"
"62","3"
"64","3"
"69","3"
"73","3"
"80","3"
"81","3"
"91","3"
"103","3"
"131","3"
"135","3"
"140","3"
"144","3"
"152","3"
"168","3"
"170","3"
"178","3"
"193","3"
"199","3"
"200","3"
"203","3"
"212","3"
"216","3"
"218","3"
"231","3"
"244","3"
"251","3"
"263","3"
"264","3"
"265","3"
"266","3"
"269","3"
"270","3"
"272","3"
"275","3"
"292","3"
"297","3"
"308","3"
"309","3"
"319","3"
"341","3"
"356","3"
"364","3"
"367","3"
"368","3"
"381","3"
"386","3"
"388","3"
"391","3"
"392","3"
"415","3"
"418","3"
"424","3"
"425","3"
"431","3"
"435","3"
"440","3"
"445","3"
"447","3"
"450","3"
"474","3"
"476","3"
"478","3"
"485","3"
"487","3"
"488","3"
"489","3"
"495","3"
"497","3"
"500","3"
"509","3"
"511","3"
"518","3"
"531","3"
"540","3"
"543","3"
"552","3"
"553","3"
"558","3"
"559","3"
"574","3"
"576","3"
"579","3"
"587","3"
"594","3"
"596","3"
"598","3"
"602","3"
"605","3"
"606","3"
"613","3"
"620","3"
"626","3"
"630","3"
"636","3"
"643","3"
"666","3"
"671","3"
"681","3"
"682","3"
"684","3"
"685","3"
"687","3"
"690","3"
"691","3"
"694","3"
"718","3"
"723","3"
"724","3"
"727","3"
"735","3"
"742","3"
"744","3"
"745","3"
"749","3"
"751","3"
"753","3"
"761","3"
"764","3"
"765","3"
"767","3"
"772","3"
"776","3"
"777","3"
"790","3"
"800","3"
"801","3"
"804","3"
"805","3"
"808","3"
"811","3"
"814","3"
"819","3"
"823","3"
"832","3"
"848","3"
"852","3"
"854","3"
"862","3"
"879","3"
"891","3"
"896","3"
"910","3"
"912","3"
"913","3"
"917","3"
"923","3"
"927","3"
"930","3"
"936","3"
"946","3"
"954","3"
"957","3"
"958","3"
"962","3"
"963","3"
"966","3"
"971","3"
"972","3"
"973","3"
"978","3"
"987","3"
"991","3"
"995","3"
"16","2"
"17","2"
"26","2"
"33","2"
"37","2"
"39","2"
"44","2"
"50","2"
"51","2"
"57","2"
"63","2"
"83","2"
"88","2"
"96","2"
"106","2"
"111","2"
"117","2"
"118","2"
"127","2"
"132","2"
"136","2"
"137","2"
"145","2"
"148","2"
"149","2"
"165","2"
"169","2"
"171","2"
"173","2"
"175","2"
"184","2"
"189","2"
"201","2"
"210","2"
"224","2"
"234","2"
"236","2"
"237","2"
"256","2"
"274","2"
"276","2"
"277","2"
"281","2"
"286","2"
"290","2"
"294","2"
"302","2"
"321","2"
"327","2"
"338","2"
"347","2"
"352","2"
"354","2"
"355","2"
"372","2"
"380","2"
"384","2"
"393","2"
"395","2"
"397","2"
"409","2"
"417","2"
"419","2"
"421","2"
"423","2"
"430","2"
"434","2"
"441","2"
"457","2"
"459","2"
"467","2"
"473","2"
"475","2"
"481","2"
"504","2"
"520","2"
"530","2"
"538","2"
"544","2"
"554","2"
"555","2"
"563","2"
"568","2"
"578","2"
"585","2"
"595","2"
"607","2"
"614","2"
"627","2"
"635","2"
"646","2"
"647","2"
"648","2"
"652","2"
"654","2"
"669","2"
"689","2"
"696","2"
"697","2"
"698","2"
"714","2"
"717","2"
"738","2"
"755","2"
"759","2"
"763","2"
"766","2"
"773","2"
"782","2"
"783","2"
"792","2"
"795","2"
"799","2"
"824","2"
"828","2"
"831","2"
"834","2"
"846","2"
"847","2"
"858","2"
"863","2"
"874","2"
"877","2"
"878","2"
"882","2"
"906","2"
"911","2"
"919","2"
"920","2"
"921","2"
"926","2"
"928","2"
"937","2"
"938","2"
"947","2"
"956","2"
"967","2"
"968","2"
"974","2"
"997","2"
"998","2"
"999","2"
"2","1"
"8","1"
"14","1"
"56","1"
"67","1"
"87","1"
"92","1"
"97","1"
"104","1"
"114","1"
"116","1"
"129","1"
"150","1"
"180","1"
"181","1"
"206","1"
"207","1"
"208","1"
"209","1"
"225","1"
"226","1"
"227","1"
"240","1"
"246","1"
"250","1"
"259","1"
"273","1"
"285","1"
"287","1"
"311","1"
"339","1"
"348","1"
"358","1"
"361","1"
"398","1"
"408","1"
"433","1"
"443","1"
"458","1"
"490","1"
"508","1"
"514","1"
"516","1"
"517","1"
"528","1"
"569","1"
"570","1"
"577","1"
"592","1"
"603","1"
"609","1"
"610","1"
"618","1"
"628","1"
"659","1"
"675","1"
"679","1"
"695","1"
"721","1"
"733","1"
"748","1"
"756","1"
"778","1"
"780","1"
"786","1"
"809","1"
"817","1"
"833","1"
"841","1"
"860","1"
"871","1"
"876","1"
"880","1"
"881","1"
"887","1"
"918","1"
"940","1"
"969","1"
